Anchor,Mean score (0-0.5)
emotion_stress-management_RIGHT,0.07476923076923077
cognition_attention-concentration_LEFT,0.07282722513089006
personality_self-confidence_LEFT,0.0664
emotion_emotional-regulation-and-reactivity_RIGHT,0.064
emotion_worries-anxiety_RIGHT,0.06272727272727273
behavior_assertiveness_LEFT,0.060125
behavior_risk-taking_LEFT,0.05973544973544974
cognition_planning-and-organization_LEFT,0.05885
behavior_self-control_RIGHT,0.05203208556149733
personality_perseverance_LEFT,0.049441624365482224
emotion_empathy_RIGHT,0.04822222222222222
social-function_social-engagement_RIGHT,0.046241610738255036
social-function_social-cooperation_LEFT,0.04602150537634408
cognition_task-completion_LEFT,0.045074626865671645
behavior_obsessive-thoughts_RIGHT,0.04411458333333334
social-function_social-engagement_LEFT,0.04380952380952381
social-function_social-communication_RIGHT,0.04305389221556886
behavior_assertiveness_RIGHT,0.04285714285714286
behavior_compliance_LEFT,0.04215
personality_self-confidence_RIGHT,0.041249999999999995
learning-and-acquisition-of-knowledge-and-skills_academic-motivation_LEFT,0.03964071856287425
learning-and-acquisition-of-knowledge-and-skills_learning-strategies_LEFT,0.03855
personality_responsibility-for-self-and-others_LEFT,0.03751412429378531
communication_expressive-language_RIGHT,0.03741379310344827
behavior_activity-level_LEFT,0.036800000000000006
cognition_thinking-speed_LEFT,0.03646067415730337
cognition_memory-recall_LEFT,0.03564102564102564
social-function_social-communication_LEFT,0.03536585365853658
learning-and-acquisition-of-knowledge-and-skills_academic-motivation_RIGHT,0.03475609756097561
communication_speech-quantity_RIGHT,0.03429411764705882
learning-and-acquisition-of-knowledge-and-skills_writing_LEFT,0.033952380952380956
cognition_self-image_LEFT,0.03385057471264368
behavior_activity-level_RIGHT,0.03321428571428572
emotion_irritability_RIGHT,0.032849740932642486
personality_responsibility-for-self-and-others_RIGHT,0.03170588235294118
social-function_social-cooperation_RIGHT,0.031048951048951053
emotion_attachment_RIGHT,0.029744897959183673
communication_speech-quantity_LEFT,0.029404761904761906
communication_expressive-language_LEFT,0.02882352941176471
communication_speech-quality_LEFT,0.0285929648241206
personality_integrity-and-honesty_RIGHT,0.027826086956521737
cognition_self-image_RIGHT,0.027756410256410256
emotion_emotional-regulation-and-reactivity_LEFT,0.027588652482269504
cognition_abstract-thinking_LEFT,0.027164179104477618
emotion_empathy_LEFT,0.02677215189873418
behavior_self-control_LEFT,0.02647058823529412
cognition_thinking-speed_RIGHT,0.025679012345679014
emotion_worries-anxiety_LEFT,0.02495726495726495
behavior_anger-management_RIGHT,0.024948453608247424
personality_creativity_LEFT,0.024825870646766172
cognition_memory-recall_RIGHT,0.02449367088607595
learning-and-acquisition-of-knowledge-and-skills_reading_LEFT,0.02408653846153846
cognition_attention-concentration_RIGHT,0.022689075630252103
learning-and-acquisition-of-knowledge-and-skills_math-arithmetic_LEFT,0.022250000000000002
daily-routines_screen-time_RIGHT,0.021079812206572773
behavior_risk-taking_RIGHT,0.02021276595744681
behavior_play_RIGHT,0.019489795918367345
emotion_stress-management_LEFT,0.019174311926605504
behavior_habits-routines_LEFT,0.017948717948717947
behavior_habits-routines_RIGHT,0.01639344262295082
communication_receptive-language_LEFT,0.01573529411764706
emotion_irritability_LEFT,0.015696969696969695
social-function_tolerance_LEFT,0.012835051546391753
somatic-and-sensory-functions_sensory-reactivity_RIGHT,0.012511848341232227
behavior_compliance_RIGHT,0.012123287671232877
behavior_anger-management_LEFT,0.012045454545454547
emotion_attachment_LEFT,0.011976744186046513
behavior_obsessive-thoughts_LEFT,0.011927710843373494
learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills_LEFT,0.011902439024390244
cognition_planning-and-organization_RIGHT,0.011788617886178862
learning-and-acquisition-of-knowledge-and-skills_learning-strategies_RIGHT,0.011666666666666665
behavior_play_LEFT,0.011141304347826089
personality_perseverance_RIGHT,0.011006711409395974
learning-and-acquisition-of-knowledge-and-skills_math-arithmetic_RIGHT,0.010228571428571427
somatic-and-sensory-functions_eating_LEFT,0.01004739336492891
social-function_tolerance_RIGHT,0.009947916666666667
personality_future-outlook_LEFT,0.009807692307692307
communication_speech-quality_RIGHT,0.00949685534591195
learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills_LEFT,0.009134615384615385
daily-routines_transitions_LEFT,0.00867298578199052
personality_creativity_RIGHT,0.008372093023255813
learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills_RIGHT,0.007846153846153845
cognition_abstract-thinking_RIGHT,0.007333333333333333
cognition_task-completion_RIGHT,0.006643356643356644
daily-routines_morning-routine_LEFT,0.004904761904761905
communication_receptive-language_RIGHT,0.004680851063829787
learning-and-acquisition-of-knowledge-and-skills_reading_RIGHT,0.004573170731707318
learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills_RIGHT,0.003980099502487563
personality_integrity-and-honesty_LEFT,0.0037704918032786883
personality_future-outlook_RIGHT,0.0036269430051813476
learning-and-acquisition-of-knowledge-and-skills_writing_RIGHT,0.002215909090909091
somatic-and-sensory-functions_sensory-reactivity_LEFT,0.0019897959183673465
daily-routines_morning-routine_RIGHT,0.0015686274509803925
daily-routines_transitions_RIGHT,0.0008808290155440416
somatic-and-sensory-functions_sexual-identity-behavior_LEFT,0.0008571428571428571
somatic-and-sensory-functions_eating_RIGHT,0.0006467661691542288
somatic-and-sensory-functions_sexual-identity-behavior_RIGHT,0.00061611374407583
daily-routines_screen-time_LEFT,0.0
